Tempo,Media Movel
1921.875,6974.916666666667
1921.9583,6963.25
1922.0417,6947.25
1922.125,6948.75
1922.2083,6944.416666666667
1922.2917,6939.333333333333
1922.375,6936.833333333333
1922.4583,6934.083333333333
1922.5417,6935.916666666667
1922.625,6939.25
1922.7083,6940.833333333333
1922.7917,6939.5
1922.875,6933.416666666667
1922.9583,6937.5
1923.0417,6957.5
1923.125,6947.083333333333
1923.2083,6933.916666666667
1923.2917,6944.583333333333
1923.375,6946.833333333333
1923.4583,6949.833333333333
1923.5417,6949.5
1923.625,6949.5
1923.7083,6950.75
1923.7917,6952.083333333333
1923.875,6957.666666666667
1923.9583,6956.666666666667
1924.0417,6942.5
1924.125,6956.5
1924.2083,6962.833333333333
1924.2917,6953.916666666667
1924.375,6950.916666666667
1924.4583,6944.333333333333
1924.5417,6940.583333333333
1924.625,6928.083333333333
1924.7083,6924.75
1924.7917,6929.75
1924.875,6932.0
1924.9583,6925.416666666667
1925.0417,6930.5
1925.125,6939.416666666667
1925.2083,6947.25
1925.2917,6954.916666666667
1925.375,6962.0
1925.4583,6968.333333333333
1925.5417,6975.416666666667
1925.625,6988.666666666667
1925.7083,6990.75
1925.7917,6980.666666666667
1925.875,6978.916666666667
1925.9583,6987.0
1926.0417,6991.0
1926.125,6990.75
1926.2083,6988.75
1926.2917,6992.25
1926.375,6993.0
1926.4583,6986.166666666667
1926.5417,6981.083333333333
1926.625,6979.833333333333
1926.7083,6979.833333333333
1926.7917,6986.916666666667
1926.875,6995.333333333333
1926.9583,6991.0
1927.0417,6994.333333333333
1927.125,6993.0
1927.2083,6993.5
1927.2917,6990.25
1927.375,6986.166666666667
1927.4583,6993.25
1927.5417,6995.333333333333
1927.625,6997.083333333333
1927.7083,7000.333333333333
1927.7917,7001.583333333333
1927.875,7000.75
1927.9583,6998.75
1928.0417,6992.916666666667
1928.125,6978.25
1928.2083,6986.916666666667
1928.2917,6994.5
1928.375,6996.083333333333
1928.4583,6994.583333333333
1928.5417,6996.333333333333
1928.625,6996.833333333333
1928.7083,6992.583333333333
1928.7917,6985.25
1928.875,6977.666666666667
1928.9583,6980.416666666667
1929.0417,6969.25
1929.125,6958.583333333333
1929.2083,6945.583333333333
1929.2917,6939.0
1929.375,6934.916666666667
1929.4583,6940.75
1929.5417,6942.0
1929.625,6942.0
1929.7083,6942.5
1929.7917,6943.75
1929.875,6927.25
1929.9583,6923.75
1930.0417,6925.5
1930.125,6944.5
1930.2083,6950.333333333333
1930.2917,6955.916666666667
1930.375,6960.5
1930.4583,6954.416666666667
1930.5417,6952.416666666667
1930.625,6955.25
1930.7083,6961.333333333333
1930.7917,6964.666666666667
1930.875,6980.666666666667
1930.9583,6982.666666666667
1931.0417,6995.916666666667
1931.125,6993.916666666667
1931.2083,6992.666666666667
1931.2917,6986.833333333333
1931.375,6987.583333333333
1931.4583,6991.166666666667
1931.5417,6990.916666666667
1931.625,6985.333333333333
1931.7083,6981.5
1931.7917,6979.416666666667
1931.875,6976.583333333333
1931.9583,6988.0
1932.0417,6980.833333333333
1932.125,6978.25
1932.2083,6982.833333333333
1932.2917,6994.5
1932.375,6998.333333333333
1932.4583,6993.5
1932.5417,6995.75
1932.625,6998.75
1932.7083,6994.916666666667
1932.7917,6994.416666666667
1932.875,7002.333333333333
1932.9583,6994.5
1933.0417,7002.666666666667
1933.125,6997.833333333333
